name,full_address,street,city,postal_code,us_state,country,latitude,longitude,site,phone,type,category,subtypes,rating,reviews,business_status,working_hours,google_id,place_id,reviews_link,photo,query,scraped_zip,source
Bamboo Bistro,,3401 Commercial Ave,Anacortes,98221,,United States of America,48.4945905,-122.6125347,,+1 360-755-6940,Thai restaurant,restaurants,"Thai restaurant, Pho restaurant",4.6,297.0,OPERATIONAL,"{""Friday"": [""11AM-3PM"", ""4-9PM""], ""Monday"": [""11AM-3PM"", ""4-9PM""], ""Saturday"": [""12-9PM""], ""Sunday"": [""12-9PM""], ""Thursday"": [""11AM-3PM"", ""4-9PM""], ""Tuesday"": [""11AM-3PM"", ""4-9PM""], ""Wednesday"": [""11AM-3PM"", ""4-9PM""]}",0x54857a21e11a1f7b:0x35978eb3c864ea5f,ChIJex8a4SF6hVQRX-pkyLOOlzU,https://search.google.com/local/reviews?placeid=ChIJex8a4SF6hVQRX-pkyLOOlzU&q=*&authuser=0&hl=en&gl=US,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHTa-eoY-RS1_1ZVlK3xxCWvzU9LBjonV96JieOZuiWZZBrqxxNlxO9ZjPTRwy0XV_19wP3SD6aNI4T5YwQ4wfhXmeENWfRKM52ZmHnrscyznNR4YXqX3eOLnaeQBCLzl_2eQrI1Q=w800-h500-k-no,"restaurant, 98221, WA, US",98221,outscraper_google_maps
Bastion Brewing Company,,12529 Christianson Rd,Anacortes,98221,,United States of America,48.461782,-122.570669,,+1 360-399-1614,Brewery,Brewery,"Brewery, American restaurant",4.3,545.0,OPERATIONAL,"{""Friday"": [""11AM-9PM""], ""Monday"": [""11AM-8PM""], ""Saturday"": [""11AM-9PM""], ""Sunday"": [""11AM-8PM""], ""Thursday"": [""11AM-8PM""], ""Tuesday"": [""11AM-8PM""], ""Wednesday"": [""11AM-8PM""]}",0x54857af356e81637:0xac63e1119864a0ce,ChIJNxboVvN6hVQRzqBkmBHhY6w,https://search.google.com/local/reviews?placeid=ChIJNxboVvN6hVQRzqBkmBHhY6w&q=*&authuser=0&hl=en&gl=US,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG_h9Tka92QGb7iaKapVHewhOpHkrfRN3vLweI2b14H90Gr21kZtAl1WhzT0sG17z51cw3WQCcmzmUo1A92Ifricjbxjt6g0dK6_RcrlC0VSdLPwigB6QjW8sL2SRZappsR8TU=w800-h500-k-no,"restaurant, 98221, WA, US",98221,outscraper_google_maps
Bistro & Bar At the Majestic,,"Majestic Inn & Spa, 419 Commercial Ave",Anacortes,98221,,United States of America,48.5184697,-122.6123222,,+1 360-299-1400,American restaurant,restaurants,"American restaurant, Bar & grill, Bistro, Restaurant",4.2,194.0,OPERATIONAL,"{""Friday"": [""7-11AM"", ""4-9PM""], ""Monday"": [""7-11AM"", ""4-9PM""], ""Saturday"": [""7-11AM"", ""4-9PM""], ""Sunday"": [""7-11AM"", ""4-9PM""], ""Thursday"": [""7-11AM"", ""4-9PM""], ""Tuesday"": [""7-11AM"", ""4-9PM""], ""Wednesday"": [""7-11AM"", ""4-9PM""]}",0x548579e12705e52f:0x719d2b23a7c42098,ChIJL-UFJ-F5hVQRmCDEpyMrnXE,https://search.google.com/local/reviews?placeid=ChIJL-UFJ-F5hVQRmCDEpyMrnXE&q=*&authuser=0&hl=en&gl=US,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHplyFpsHuRFu8yH-d38ZNJLjcAZGy06CZ82EzgDr4LlcP1bVRJlZT3tP2mZY727OOevD-Zs4JxHNW7syigrqKJQYOJc_4qSmwxa0XnExxS-Ls62ZUkzfuY5uwavtrdCJ_tLwtJGw=w800-h500-k-no,"restaurant, 98221, WA, US",98221,outscraper_google_maps
Blackbird Wine Bar and Charcuterie,,604 Commercial Ave,Anacortes,98221,,United States of America,48.5173342,-122.6128251,,+1 360-317-5542,Wine bar,bars,Wine bar,5.0,85.0,OPERATIONAL,"{""Friday"": [""3-9:30PM""], ""Monday"": [""Closed""], ""Saturday"": [""1-9:30PM""], ""Sunday"": [""1-6PM""], ""Thursday"": [""3-8:30PM""], ""Tuesday"": [""3-8PM""], ""Wednesday"": [""3-8PM""]}",0x5485791e86d72015:0x1538f9e975a0c32b,ChIJFSDXhh55hVQRK8Ogden5OBU,https://search.google.com/local/reviews?placeid=ChIJFSDXhh55hVQRK8Ogden5OBU&q=*&authuser=0&hl=en&gl=US,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEb8rrjxKEphYTe6WTs0jeaaOJMQESClhY1mvKviHLXEp9tQpiwVcTecq5BjCIQqejVjYqe78bhd0F2oy1WKoDzXiPyf20jau-wW8CU7hc-GyBES7pYg-x9pLNfCu3oBzcic6bPUQ=w800-h500-k-no,"restaurant, 98221, WA, US",98221,outscraper_google_maps
Brown Lantern,,412 Commercial Ave,Anacortes,98221,,United States of America,48.5187591,-122.6126794,,+1 360-293-2544,Bar & grill,restaurants,"Bar & grill, Restaurant",4.4,1568.0,OPERATIONAL,"{""Friday"": [""7AM-12AM""], ""Monday"": [""7AM-12AM""], ""Saturday"": [""7AM-12AM""], ""Sunday"": [""7AM-12AM""], ""Thursday"": [""7AM-12AM""], ""Tuesday"": [""7AM-12AM""], ""Wednesday"": [""7AM-12AM""]}",0x548579e0d8256929:0x67677946e5f55857,ChIJKWkl2OB5hVQRV1j15UZ5Z2c,https://search.google.com/local/reviews?placeid=ChIJKWkl2OB5hVQRV1j15UZ5Z2c&q=*&authuser=0&hl=en&gl=US,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEemelMlLwMvOAnc7NMP--_PBWbYd_sr4xLy-lNaKs1gGiNqXZY127lFuVSqglAvfHc0DQ4kzSRakk7Ex5VLaaYdHzQgKGkChCWsvkIPrLDporo2190_arAnEJFDJ92gnOGJ0AR=w800-h500-k-no,"restaurant, 98221, WA, US",98221,outscraper_google_maps
Cabo Market,,1717 Commercial Ave,Anacortes,98221,,United States of America,48.5079195,-122.6124064,,+1 360-588-9857,Mexican grocery store,Mexican grocery store,"Mexican grocery store, Mexican restaurant",4.8,13.0,OPERATIONAL,"{""Friday"": [""9AM-8PM""], ""Monday"": [""10AM-8PM""], ""Saturday"": [""9AM-8PM""], ""Sunday"": [""9AM-8PM""], ""Thursday"": [""9AM-8PM""], ""Tuesday"": [""9AM-8PM""], ""Wednesday"": [""9AM-8PM""]}",0x548579142a14fdc3:0x5f538fb608523cf3,ChIJw_0UKhR5hVQR8zxSCLaPU18,https://search.google.com/local/reviews?placeid=ChIJw_0UKhR5hVQR8zxSCLaPU18&q=*&authuser=0&hl=en&gl=US,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGzl2Ru7gw6w-6Ld2n8aF15R_jvGW4oUPFrIM96_zOupIxyQ9zXIOMr_6xODoqD61KDsO4ErTz2WLd9KOkc8ibHaDscX8_uWaQIRAQ5QNZQCnx4SHHRQ8bdy5kiUOrjleq5R5-1iueo6wA=w800-h500-k-no,"restaurant, 98221, WA, US",98221,outscraper_google_maps
Carver's Cafe,,12885 Casino Dr,Anacortes,98221,,United States of America,48.4580222,-122.5196877,,+1 360-588-3638,American restaurant,restaurants,American restaurant,3.8,139.0,OPERATIONAL,"{""Friday"": [""8AM-3AM""], ""Monday"": [""8AM-2AM""], ""Saturday"": [""7AM-3AM""], ""Sunday"": [""7AM-2AM""], ""Thursday"": [""8AM-2AM""], ""Tuesday"": [""8AM-2AM""], ""Wednesday"": [""8AM-2AM""]}",0x548571319235ec85:0x2037864270c8ee16,ChIJhew1kjFxhVQRFu7IcEKGNyA,https://search.google.com/local/reviews?placeid=ChIJhew1kjFxhVQRFu7IcEKGNyA&q=*&authuser=0&hl=en&gl=US,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG9dhoyUP5V_I_Q145XBeFEycBh9jXwzeSMKXkwbLjTZicNR_ts64YCeYYGfwgr7u_HHAoCyrUqU412Ti2anmjAQ0DayToJ_vfPZ0zwQ-mNEVarRJT9ns2UV2L3ze9_mbIGYG-r=w800-h500-k-no,"restaurant, 98221, WA, US",98221,outscraper_google_maps
Chipotle Mexican Grill,,1700 Commercial Ave,Anacortes,98221,,United States of America,48.5083847,-122.6131635,,+1 360-639-1246,Mexican restaurant,restaurants,Mexican restaurant,3.5,83.0,OPERATIONAL,"{""Friday"": [""10:45AM-11PM""], ""Monday"": [""10:45AM-11PM""], ""Saturday"": [""10:45AM-11PM""], ""Sunday"": [""10:45AM-11PM""], ""Thursday"": [""10:45AM-11PM""], ""Tuesday"": [""10:45AM-11PM""], ""Wednesday"": [""10:45AM-11PM""]}",0x54857900414c4e47:0x59579797d6b6c742,ChIJR05MQQB5hVQRQse21peXV1k,https://search.google.com/local/reviews?placeid=ChIJR05MQQB5hVQRQse21peXV1k&q=*&authuser=0&hl=en&gl=US,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF67vS8SVXZpTo_iOcDOX4vJugAa9cXIXrcpl6KekUds0RcNQZt5vQLo9O4S0Efiv3AQ9MgNSKQMpeBtOQKibx10zUofd7OAzgNUKNL1PeEpgnCytipwN1BtdtqwQzFZdY629Xb_5HWG-4=w800-h500-k-no,"mexican restaurant, 98221, WA, US",98221,outscraper_google_maps
Coconut Kenny's Pizza - Anacortes,,1005 Commercial Ave,Anacortes,98221,,United States of America,48.513943,-122.6123302,,+1 360-899-4438,Pizza restaurant,restaurants,Pizza restaurant,4.5,636.0,OPERATIONAL,"{""Friday"": [""11AM-9PM""], ""Monday"": [""11AM-9PM""], ""Saturday"": [""11AM-9PM""], ""Sunday"": [""11AM-9PM""], ""Thursday"": [""11AM-9PM""], ""Tuesday"": [""11AM-9PM""], ""Wednesday"": [""11AM-9PM""]}",0x548579e44c4e0b0b:0x2ce7b6c0f951019e,ChIJCwtOTOR5hVQRngFR-cC25yw,https://search.google.com/local/reviews?placeid=ChIJCwtOTOR5hVQRngFR-cC25yw&q=*&authuser=0&hl=en&gl=US,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFBSOVJ2noQ9ORbx-GKi5M_2haLbNoZ4wGFcBwyiqutRZnK74L_ZGEe1UNhUVMvEex29EPSHIldMucKVXodkSxjD_pEFUxXqMPwaiE3x1y_2wjaXQZRH9uzRxotGoYjCSstxkoo=w800-h500-k-no,"restaurant, 98221, WA, US",98221,outscraper_google_maps
Cosmic Veggies (Drink Your Veggies),,615 Commercial Ave,Anacortes,98221,,United States of America,48.5169028,-122.6123578,,+1 360-941-2355,Vegan restaurant,Vegan restaurant,"Vegan restaurant, Gluten-free restaurant, Health food restaurant, Juice shop, Delivery Restaurant",4.9,383.0,OPERATIONAL,"{""Friday"": [""8AM-5PM""], ""Monday"": [""8AM-5PM""], ""Saturday"": [""8AM-5PM""], ""Sunday"": [""8AM-4PM""], ""Thursday"": [""8AM-5PM""], ""Tuesday"": [""8AM-5PM""], ""Wednesday"": [""8AM-5PM""]}",0x5485794a99ed8cfb:0xfeb7201343c8ec85,ChIJ-4ztmUp5hVQRhezIQxMgt_4,https://search.google.com/local/reviews?placeid=ChIJ-4ztmUp5hVQRhezIQxMgt_4&q=*&authuser=0&hl=en&gl=US,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEQOeldTMW4V1ArFEAdhx9scUE2OyLAJd_9WNZCSLzjBChxOYhkGeazjH4UWH-WESkWRK3-3abmN04ELUU7xFbUUmMzWXrlAoP701Mys4v60bMICbOYOxGC55X8M3f7nuwzXDcQ=w800-h500-k-no,"restaurant, 98221, WA, US",98221,outscraper_google_maps
Country Corner,,7601 State Rte 20,Anacortes,98221,,United States of America,48.461769,-122.5825668,,+1 360-293-8411,Breakfast restaurant,restaurants,"Breakfast restaurant, Bar, Bar & grill, Espresso bar, Fish & chips restaurant, Grocery store",4.1,339.0,OPERATIONAL,"{""Friday"": [""8AM-9PM""], ""Monday"": [""8AM-9PM""], ""Saturday"": [""8AM-9PM""], ""Sunday"": [""8AM-9PM""], ""Thursday"": [""8AM-9PM""], ""Tuesday"": [""8AM-9PM""], ""Wednesday"": [""8AM-9PM""]}",0x54857af64241345f:0x10fe48334a5c4fcd,ChIJXzRBQvZ6hVQRzU9cSjNI_hA,https://search.google.com/local/reviews?placeid=ChIJXzRBQvZ6hVQRzU9cSjNI_hA&q=*&authuser=0&hl=en&gl=US,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG0RR5Mf-4H7Quu7owNPSOrM7poTvnA53hbSwg8TRAcdMz4ILb0S6Ez-U48pO-C3Kh9CpiURJEUdm2_TF_waah3x2T9UJLf5l509zLuOijvlgrGBEGM-FvOSDDK-7X-x8m3Bk48=w800-h500-k-no,"restaurant, 98221, WA, US",98221,outscraper_google_maps
Curry Leaf Restaurant,,408 Commercial Ave,Anacortes,98221,,United States of America,48.5188468,-122.612865,,+1 360-298-3258,Restaurant,restaurants,Restaurant,4.7,57.0,OPERATIONAL,"{""Friday"": [""1-9PM""], ""Monday"": [""Closed""], ""Saturday"": [""1-9PM""], ""Sunday"": [""1-9PM""], ""Thursday"": [""1-9PM""], ""Tuesday"": [""Closed""], ""Wednesday"": [""1-9PM""]}",0x5485794fbe19b74b:0x9d59e53135fad0a7,ChIJS7cZvk95hVQRp9D6NTHlWZ0,https://search.google.com/local/reviews?placeid=ChIJS7cZvk95hVQRp9D6NTHlWZ0&q=*&authuser=0&hl=en&gl=US,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFOtiVk42KOFUnHqSU87BtXc-4tZvVGF5j20Ss2Mrl1C-R_gppvNEhFEo_CBuCPGJFMz-OoELwXbhOW-QotoTH_u3fpOCDwXLYWLrmZ6BRfmqWJ28QmPRD2YIPYczWkqkAP-9lWGh8JghAs=w800-h500-k-no,"restaurant, 98221, WA, US",98221,outscraper_google_maps
Dad's Diner,,906 Commercial Ave,Anacortes,98221,,United States of America,48.514779,-122.612755,,+1 360-899-5269,American restaurant,restaurants,"American restaurant, Breakfast restaurant, Restaurant",4.7,1519.0,OPERATIONAL,"{""Friday"": [""7AM-9PM""], ""Monday"": [""7AM-8PM""], ""Saturday"": [""7AM-8PM""], ""Sunday"": [""7AM-4PM""], ""Thursday"": [""7AM-8PM""], ""Tuesday"": [""7AM-8PM""], ""Wednesday"": [""7AM-8PM""]}",0x548579e430e758a9:0xe3d174462d0d00a3,ChIJqVjnMOR5hVQRowANLUZ00eM,https://search.google.com/local/reviews?placeid=ChIJqVjnMOR5hVQRowANLUZ00eM&q=*&authuser=0&hl=en&gl=US,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHs2hhrMKhDgOUicmj_koW_Ebcvdk1KkgZrWP_r1x0eaYyCBm0gVTXljTqdgC1Zt0SycJOcMIoXBqBEYzrrEgTWFPPlPrjYOX36vA9uWxEkIt5Su8QJTyS9C3Y55CSTFN19Gdns=w800-h500-k-no,"restaurant, 98221, WA, US",98221,outscraper_google_maps
Dad's Diner Old School BBQ,,903-909 22nd St,Anacortes,98221,,United States of America,48.5041974,-122.612097,,+1 360-840-2938,Barbecue restaurant,restaurants,Barbecue restaurant,4.5,116.0,OPERATIONAL,"{""Friday"": [""11AM-7PM""], ""Monday"": [""Closed""], ""Saturday"": [""11AM-7PM""], ""Sunday"": [""11AM-6PM""], ""Thursday"": [""11AM-7PM""], ""Tuesday"": [""Closed""], ""Wednesday"": [""11AM-7PM""]}",0x548579f6c98b41dd:0x7fab30722e82a177,ChIJ3UGLyfZ5hVQRd6GCLnIwq38,https://search.google.com/local/reviews?placeid=ChIJ3UGLyfZ5hVQRd6GCLnIwq38&q=*&authuser=0&hl=en&gl=US,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFMgIF2I7rO1Ay1DB3vNcYP6Rfl-ulMWWkqSrQ0PqJogTYmuRqQPTurlxMD4ayOUz-wNj-HCsoHtu1OSGoYNroJ_NEYdd-N9KBmzsHN777kSfY1IeHPrs_BjzPO2WeSfJi1P5Kp=w800-h500-k-no,"restaurant, 98221, WA, US",98221,outscraper_google_maps
